"COMMENT","ID","EN","DE","NL","FR","GR","IT","PT","RU","ES"
"Always open as UTF8 !",,,,,,,,,,
"version=2050401",,,,,,,,,,
,,"English","German","Dutch","French","Greek","Italian","Portuguese","Cyrillic","Spanish"
,,,,,,,,,,
,,"no","nein","nr","non","αριθ.","no","não","нет","no"
,,"yes","ja","ja","oui","ναι","sì","sim","да","sí"
,,,,,,,,,,
,,"Quit","Abrechen","Houd met op","Stoppé","Εγκαταλείψτε","Rinunciato","Parado","Прекращено","Parado"
,,,,,,,,,,
,,"Select Options","Optionen Auswehlen","Selecteer Opties","Choisissez Les Options","Επιλέξτε τις επιλογές","Selezioni Le Opzioni","Selecione Opções","Выберите Варианты","Seleccione Las Opciones"
,,,,,,,,,,
,,"Water flow test Level","Wasser Test Level","Het Niveau van de de stroomtest van het water","Niveau d'essai d'écoulement de l'eau","Επίπεδο δοκιμής ροής του νερού","Livello della prova di flusso dell'acqua","Nível do teste do fluxo da água","Уровень испытания подачи воды","Nivel de la prueba del flujo del agua"
,,,,,,,,,,
,,"Avatar Editor",,"Avatar Redacteur","Rédacteur D'Avatar","Συντάκτης ειδώλων","Redattore Del Avatar","Editor Do Avatar","Редактор Воплощения","Redactor Del Avatar"
,,,,,,,,,,
,,"Start window maximised","Start Fenster Vergroessert","Gemaximaliseerde het venster van het begin","Commencez la fenêtre maximisée","Παράθυρο έναρξης που μεγιστοποιείται","Inizi la finestra elevata","Comece a janela maximised","Начните увеличенное окно","Comience la ventana maximizada"
,,,,,,,,,,
,,"Start window normal","Start Fenster Normale Groesse","Normale het venster van het begin","Commencez la normale de fenêtre","Παράθυρο έναρξης κανονικό","Inizi il normale della finestra","Comece o normal da janela","Начните нормальный окна","Comience la ventana normal"
,,,,,,,,,,
,,"Sound off","Tom Aus","Geluid weg","Bruit au loin","Ήχος μακριά","Suono fuori","Som fora","Звук","Sonido apagado"
,,,,,,,,,,
,,"Sound on","Ton Ein","Geluid","Bruit dessus","Ήχος επάνω","Suono sopra","Som sobre","Звук дальше","Sonido encendido"
,,,,,,,,,,
,,"Back to main menu","Zuruck zum Hauptmenu","Terug naar hoofdmenu","De nouveau au menu principal","Πίσω στις κύριες επιλογές","Di nuovo al menu principale","Para trás ao menu principal","Back to главным образом меню","De nuevo a menú principal"
,,,,,,,,,,
,,"Quit to main menu","Abrechen und zum Hauptmenu zuruck kehren","Houd met aan hoofdmenu op","Stoppé au menu principal","Εγκαταλείψτε στις κύριες επιλογές","Rinunciato al menu principale","Parado ao menu principal","Прекращено к главным образом меню","Parado al menú principal"
,,,,,,,,,,
,,"Continue","Weiter","Ga verder","Continuez","Συνεχιστείτε","Continui","Continue","Продолжайтесь","Continúe"
,,,,,,,,,,
,,"Save all mood poses as .PNG files of selected size","Alle Stimmungs Haltungen als .PNG files der bestimmten grosse speichern","Sparen allen stelt de stemming zoals. PNG- dossiers van geselecteerde grootte","Économiser toute l'humeur pose comme des dossiers de PNG de taille choisie","Εκτός από όλους η διάθεση θέτει όπως. αρχεία PNG του επιλεγμένου μεγέθους","Risparmi tutto l'umore propone come lime del PNG del formato selezionato","Excepto todo o modo poses como limas do PNG do tamanho selecionado","За исключением всего настроения представляет по мере того как архивы PNG выбранного размера","Excepto todo el humor se presenta como los archivos del PNG del tamaño seleccionado"
,,,,,,,,,,
,,"Save viewed pose as .PNG files in all sizes","Diese Haltung als .PNG file in allen grossen speichern","Sparen bekeken stel zoals. PNG- dossiers in alle grootte","La pose vue comme PNG Classe dans toutes les tailles","Εκτός από θέστε όπως. αρχεία PNG σε όλα τα μεγέθη","La posa osservata risparma come PNG Archivia in tutti i formati","O pose visto de salvaguarda como o PNG arquiva em todos os tamanhos","Спасительное осмотренное представление как PNG хранит в всех размерах","La actitud vista de ahorro como PNG Archiva en todos los tamaños"
,,,,,,,,,,
,,"Save an avatar soul","Avatar Seele speichern","Sparen een avatar ziel","Économiser une âme d'avatar","Εκτός από μια ψυχή ειδώλων","Risparmi un'anima del avatar","Excepto uma alma do avatar","За исключением души воплощения","Excepto un alma del avatar"
,,,,,,,,,,
,,"Load an avatar soul","Avatar Seele Laden","Laad een avatar ziel","Chargez une âme d'avatar","Φορτώστε μια ψυχή ειδώλων","Carichi un'anima del avatar","Carregue uma alma do avatar","Нагрузите душу воплощения","Cargue un alma del avatar"
,,,,,,,,,,
,,"Eye","Auge","Oog","Oeil","Μάτι","Occhio","Olho","Глаз","Ojo"
,,,,,,,,,,
,,"Socks","Socken","Sokken","Chaussettes","Κάλτσες","Calzini","Socks","Носки","Calcetines"
,,,,,,,,,,
,,"All foot colours","Alle Fuss farben","Alle voetkleuren","Toutes les couleurs de pied","Όλα τα χρώματα ποδιών","Tutti i colori del piede","Todas as cores do pé","Все цветы ноги","Todos los colores del pie"
,,,,,,,,,,
,,"Body Low","Korper unten","Laag lichaam","Corps Bas","Σώμα χαμηλό","Corpo Basso","Corpo Baixo","Тело Низкое","Cuerpo Bajo"
,,"Body High","Korper oben","Hoog lichaam","Corps Haut","Σώμα υψηλό","Corpo Alto","Corpo Elevado","Тело Высокое","Cuerpo Alto"
,,"All body colours","Alle Korper Farben","Alle dekkleuren","Toutes les couleurs de corps","Όλα τα χρώματα σωμάτων","Tutti i colori del corpo","Todas as cores do corpo","Все цветы тела","Todos los colores del cuerpo"
,,,,,,,,,,
,,"EyeBrows","Augenbraun","EyeBrows","Sourcils","EyeBrows","Sopracciglia","Sobrancelhas","Брови","Cejas"
,,,,,,,,,,
,,"Hair High","Harr oben","Hoog haar","Cheveux Hauts","Τρίχα υψηλή","Capelli Alti","Cabelo Elevado","Волосы Высокие","Pelo Alto"
,,,,,,,,,,
,,"All hair colours","Alle Haarfarben","Alle haarkleuren","Toutes les couleurs de cheveux","Όλα τα χρώματα τρίχας","Tutti i colori dei capelli","Todas as cores do cabelo","Все цветы волос","Todos los colores del pelo"
,,,,,,,,,,
,,"Lips","Lippen","Lippen","Lèvres","Χείλια","Labbri","Bordos","Губы","Labios"
,,,,,,,,,,
,,"Nipples","Nippel","Uitsteeksels","Mamelons","Θηλές","Ugelli","Bocais","Ниппели","Entrerroscas"
,,,,,,,,,,
,,"Skin","Haut","Huid","Peau","Δέρμα","Pelle","Pele","Кожа","Piel"
,,"All skin colours","Alle Haut Farben","Alle huidkleuren","Toutes les couleurs de peau","Όλα τα χρώματα δερμάτων","Tutti i colori della pelle","Todas as cores da pele","Все цветы кожи","Todos los colores de la piel"
,,,,,,,,,,
,,"Rotate","Drehen","Roteer","Tournez","Περιστραφείτε","Ruoti","Gire","Вращайте","Rote"
,,,,,,,,,,
,,"Right","Rechts","Recht","Droite","Δικαίωμα","Destra","Direita","Право","La derecha"
,,"Left","Links","Linker","Gauche","Αριστερός","Di sinistra","Esquerdo","Лево","Izquierdo"
,,"Back","Hinten","Rug","Dos","Πλάτη","Parte posteriore","Parte traseira","Задняя часть","Parte posteriora"
,,"Front","Vorne","Voorzijde","Avant","Μέτωπο","Parte anteriore","Parte dianteira","Фронт","Frente"
,,,,,,,,,,
,,"Working","Bei Der Arbeit","Het werken","Fonctionnement","Εργασία","Funzionamento","Funcionamento","Деятельность","Funcionamiento"
,,"Thoughtful","Denkt nach","Nadenkend","Pensif","Στοχαστικός","Premuroso","Pensativo","Заботливо","Pensativo"
,,"Scared","Hat Angst","Doen schrikken","Effrayé","Φοβησμένος","Spaventato","Scared","Вспугнуто","Asustado"
,,"Sad","Traurig","Droevig","Triste","Λυπημένος","Triste","Sad","Уныло","Triste"
,,"Okay",,"O.k.","Ok","Εντάξει","Approvazione","Aprovação","О'кейо","Autorización"
,,"Nerdy","Geek","Nerdy","Nerdy","Nerdy","Nerdy","Nerdy","Nerdy","Nerdy"
,,"Happy","Froh","Gelukkig","Heureux","Ευτυχής","Felice","Feliz","Счастливо","Feliz"
,,"Enthralled","Bezaubert","Enthralled","Fasciné","Enthralled","Enthralled","Enthralled","Enthralled","Cautivado"
,,"Energetic","Voller Energie","Energiek","Énergique","Ενεργητικός","Energico","Energético","Напористо","Enérgio"
,,"Devious","Schlau","Omslachtig","Détourné","Λοξός","Indiretto","Devious","Devious","Desviado"
,,"Determind","Entschlossen","Determind","Determind","Determind","Determind","Determind","Determind","Determind"
,,"Confused","Verwirrt","Verward","Confus","Ταραγμένος","Confuso","Confused","Confused","Confuso"
,,"Awake","Wach","Wakker","Éveillé","Αγρυπνος","Sveglio","Acordado","Awake","Despierto"
,,"Angry","Sauer","Boos","Fâché",0,"Arrabbiato","Irritado","Сердито","Enojado"
,,"Bird","Vogel","Vogel","Oiseau","Πουλί","Uccello","Pássaro","Птица","Pájaro"
,,"Hands on hips","Haende auf den Hueften","Handen op heupen","Mains sur des hanches","Χέρια στα ισχία","Mani sulle anche","Mãos nos hips","Руки на вальмах","Manos en caderas"
,,"Gunner",,"Artillerist","Canonnier","Οπλίτης","Gunner","Gunner","Gunner","Artillero"
,,"Point down up","Unten/Oben zeigen","Punt neer omhoog","Point vers le bas vers le haut","Σημείο κάτω επάνω","Punto giù in su","Ponto para baixo acima","Пункт вниз вверх","Punto abajo para arriba"
,,"Point up down","Oben/Unten zeigen","Punt omhoog neer","Point vers le haut vers le bas","Σημείο επάνω κάτω","Punto in su giù","Ponto acima para baixo","Пункт вверх вниз","Punto para arriba abajo"
,,"Idle","Leerlauf","Voer niets uit","Ralenti","Τεμπελιάστε","Idle","Idle","Idle","Marcha lenta"
,,"Breath","Atmen","Adem","Souffle","Αναπνοή","Alito","Respiração","Дыхание","Respiración"
,,"Walk","Laufen","Gang","Promenade","Περίπατος","Camminata","Caminhada","Прогулка","Caminata"
,,,,,,,,,,
,,"Randomize",,"verdeel willekeurig","Randomisez","Τυχαιοποιήστε","Ripartisca le probabilità su","Randomize","Хаотизируйте","Seleccione al azar"
,,,,,,,,,,
,,"Any","Irgendwas","Om het even welk","Quels","Οποιοιδήποτε","C'è ne","Alguns","Любые","Cualesquiera"
,,"Girl","Maedchen","Meisje","Fille","Κορίτσι","Ragazza","Menina","Девушка","Muchacha"
,,"Boy","Junge","Jongen","Garçon","Αγόρι","Ragazzo","Menino","Мальчик","Muchacho"
,,,,,,,,,,
,,"Ears","Ohren","Oren","Oreilles","Αυτιά","Orecchi","Orelhas","Уши","Oídos"
,,,,,,,,,,
,,"Nose","Nase","Neus","Nez","Μύτη","Naso","Nariz","Нос","Nariz"
,,,,,,,,,,
,,"Beard",,"Baard","Barbe","Γενειάδα","Barba","Beard","Борода","Barba"
,,,,,,,,,,
,,"Mouth","Mund","Mond","Bouche","Στόμα","Bocca","Boca","Рот","Boca"
,,,,,,,,,,
,,"Specs","Brille","Specs","Spéc.","Specs","Spec.","Especs.","Specs","Espec."
,,,,,,,,,,
,,"EyeBalls","Augenaepfel","EyeBalls","Globes oculaires","EyeBalls","EyeBalls","EyeBalls","EyeBalls","Globos oculares"
,,,,,,,,,,
,,"Eyes","Augen","Ogen","Yeux","Μάτια","Occhi","Olhos","Глаза","Ojos"
,,,,,,,,,,
,,"Tail","Swanz","Staart","Queue","Ουρά","Coda","Cauda","Кабель","Cola"
,,,,,,,,,,
,,"Feet","Fuesse","Voeten","Pieds","Πόδια","Piedi","Pés","Ноги","Pies"
,,,,,,,,,,
,,"Hands","Haende","Handen","Mains","Χέρια","Mani","Mãos","Руки","Manos"
,,,,,,,,,,
,,"Body","Koerper","Lichaam","Corps","Σώμα","Corpo","Corpo","Тело","Cuerpo"
,,,,,,,,,,
,,"Hair",,"Haar","Cheveux","Τρίχα","Capelli","Cabelo","Волосы","Pelo"
,,,,,,,,,,
,,"Head","Kopf","Hoofd","Tête","Κεφάλι","Testa","Cabeça","Головка","Cabeza"
,,,,,,,,,,
,,"Load/Save","Speichern/Laden","Lading/sparen","Load/Save","Φορτίο/εκτός από","Load/Save","Load/Save","Load/Save","Load/Save"
,,,,,,,,,,
,,"Select Colors","Farben Auswaehlen","Selecteer Kleuren","Choisissez Les Couleurs","Επιλέξτε τα χρώματα","Selezioni I Colori","Selecione Cores","Выберите Цветы","Seleccione Los Colores"
,,,,,,,,,,
,,"Select Pose","Haltung Auswaelen","Selecteer stellen","Choisissez La Pose","Επιλέξτε θέτει","Selezioni La Posa","Selecione O Pose","Выберите Представление","Seleccione La Actitud"
"Autodump of new strings",,,,,,,,,,
,,"Foot","Fuß","Voet","Pied","Πόδι","Piede","Pé","Нога","Pie"
,,"Select Parts","Wählen Sie Teile Vor","Selecteer Delen","Choisissez Les Pièces","Επιλέξτε τα μέρη","Selezioni Le Parti","Selecione As Peças","Выберите Части","Seleccione Las Piezas"
,,"Randomizer","Randomizer","Randomizer","Randomizer","Randomizer","Randomizer","Randomizer","Randomizer","Randomizer"
,,"Sleepy","Schläfrig","Slaperig","Somnolent","Νυσταλέος","Sleepy","Sleepy","Сонно","Soñoliento"
,,"Teapot","Teekanne","Theepot","Théière","Teapot","Teiera","Teapot","Чайник","Tetera"
,,"face","Gesicht","gezicht","visage","πρόσωπο","faccia","cara","сторона","cara"
,,"Toecaps","Toecaps","Neuzen","Embouts protecteurs","Toecaps","Toecaps","Toecaps","Toecaps","Toecaps"
,,"Iris","Blende","Iris","Iris","IRIS","Iride","Íris","Радужка","Diafragma"
,,"Rotate OFF","Drehen Sie Sich WEG","Roteer WEG","Tournez AU LOIN","Περιστραφείτε ΜΑΚΡΙΑ","Ruoti FUORI","Gire FORA","Вращайте","Rote APAGADO"
,,"Play Amaze basic level set","Spiel überraschen grundlegenden Niveausatz","Het spel verbaast basisniveaureeks","Le jeu stupéfient l'ensemble de base de niveau","Το παιχνίδι καταπλήσσει το βασικό σύνολο επιπέδων","Il gioco stupisce l'insieme di base del livello","O jogo espanta o jogo básico do nível","Игра изумляет основной комплект уровня","El juego sorprende el sistema básico del nivel"
,,"Save viewed anim as .PNG files in 100x100","Abwehr sah anim als PNG Akten in 100x100 an","Sparen bekeken anim zoals. PNG- dossiers in 100x100","L'économiser a regardé l'anim comme dossiers de PNG dans 100x100","Εκτός από anim όπως. αρχεία PNG σε 100x100","Il risparmio ha osservato il anim come lime del PNG in 100x100","As economias viram o anim como limas do PNG em 100x100","Спасение осмотрело anim как архивы PNG в 100x100","La reserva vio el anim como archivos del PNG en 100x100"
,,"Restart","Wiederanlauf","Nieuw begin","Relancement","Καινούριο ξεκίνημα","Riavviamento","Reinício","Рестарт","Recomenzar"
,,"GFX","GFX","GFX","GFX","GFX","GFX","GFX","GFX","GFX"
,,"Gloss","Glanz","Polijst","Lustre","Σχολιάστε","Lucentezza","Lustro","Лоск","Lustre"
,,"Aspect","Aspekt","Aspect","Aspect","Πτυχή","Funzione","Aspecto","Аспект","Aspecto"
,,"Congratulations, sorry no more levels right now, so we will just wrap back to the start.","Die Glückwünsche, traurig keine mehr Niveaus im Augenblick, also wir wickeln gerade zurück zu dem Anfang auf.","Droevige gelukwensen, niet meer niveaus op dit ogenblik, zodat zullen wij enkel terug naar het begin verpakken.","Les félicitations, désolées plus de niveaux en ce moment, ainsi nous ne s'envelopperont juste de nouveau au début.","Συγχαρητήρια, θλιβερά όχι άλλα επίπεδα αμέσως, έτσι θα τυλίξουμε ακριβώς πίσω στην έναρξη.","Le congratulazioni, spiacenti più livelli ora, in modo da noi non sposteranno appena di nuovo all'inizio.","Os felicitações, pesarosos não mais nivelam para a direita agora, assim que nós envolveremos apenas para trás ao começo.","Congratulations, огорченные no more уровней right now, поэтому мы как раз обернут back to старт.","Las felicitaciones, apesadumbradas no más de niveles ahora, así que nosotros apenas no se envolverán de nuevo al comienzo."
,,"Size","Größe","Grootte","Taille","Μέγεθος","Formato","Tamanho","Размер","Tamaño"
,,"You will need to restart for this to take effect.","Sie müssen wiederbeginnen, damit dieses wirksamIST.","U zult voor dit moeten opnieuw beginnen om effect te nemen.","Vous devrez vous remettre en marche pour que ceci entre en vigueur.","Θα πρέπει να ξαναξεκινήσετε για αυτό για να εφαρμοστείτε.","Dovrete ricominciare affinchè questo entriate in vigore.","Você necessitará reiniciar para que este faça exame do efeito.","Вы повторить старт для этого для того чтобы принять влияние.","Usted necesitará recomenzar para que esto tome efecto."
,,"Embarrassed","In Verlegenheit gebracht","Pijnlijk","Embarrassé","Στενοχωρημένος","Confuso","Embarrassed","Оконфужено","Desconcertado"
,,"Rotate ON","Drehen Sie Sich AN","Roteer","Tournez DESSUS","Περιστραφείτε ΕΠΑΝΩ","Ruoti SOPRA","Gire SOBRE","Вращайте ДАЛЬШЕ","Rote ENCENDIDO"
,,"Color","Farbe","Kleur","Couleur","Χρώμα","Colore","Cor","Цвет","Color"
,,"Sole","Alleinig","Enig","Unique","Μόνος","Solo","Único","Единственно","Único"
,,"Or if it is all too much for little old you then just skip to the next one.","Oder wenn sie alle zu viel für wenig altes Sie dann gerechter Zeilensprung bis das folgende ist.","Of als het al teveel voor weinig oud is slaat u dan enkel aan volgende over.","Ou si elle est beaucoup trop pour peu vieux vous puis saut juste à le prochain.","Ή εάν είναι όλο πάρα πολύ για ελάχιστα παλαιό έπειτα ακριβώς πηδάτε στον επόμενο.","O se è troppo per poco vecchio voi allora salto giusto a quello seguente.","Ou se for todo o demasiada para pouco velho você então faixa clara justa à seguinte.","Или если он всем too much для немного старой вы после этого справедливый скип до следующее одно.","O si es todo el demasiado para poco viejo usted entonces salto justo el siguiente."
,,"Indescribable","Unbeschreibbar","Indescribable","Indescriptible","Απερίγραπτος","Indescribable","Indescribable","Indescribable","Indescriptible"
,,"Excited","Aufgeregt","Opgewekt","Passionnant","Συγκινημένος","Eccitato","Excitado","Возбужено","Excitado"
,,"Hair Low","Haar Niedrig","Laag haar","Cheveux Bas","Τρίχα χαμηλή","Capelli Bassi","Cabelo Baixo","Волосы Низкие","Pelo Bajo"
,,"OK, this one might be hard, not impossible, but not easy.","O.K., dieses konnte hart, nicht unmöglich, aber nicht einfach sein.","O.K., dit zou men, hard, niet onmogelijk maar niet gemakkelijk kunnen zijn.","L'OK, celui-ci pourrait ne pas être dur, impossible, mais non facile.","ΕΝΤΑΞΕΙ, αυτός να είναι σκληρός, μη αδύνατος, αλλά μη εύκολος.","L'APPROVAZIONE, questa ha potuto essere dura, non impossibile, ma non facile.","A APROVAÇÃO, esta pôde ser dura, nao impossível, mas nao fácil.","О'КЕЙО, это одно могло быть трудно, невозможно, но легко.","La AUTORIZACIÓN, ésta pudo ser dura, no imposible, pero no fácil."
,,"Shine","Shine","Glans","Éclat","Λάμψτε","Lustro","Brilho","Shine","Brillo"
,,"Outwitted by dumb AI?","Überlistet durch stumme KI?","Outwitted door stomme AI?","Surpassé par AI sourde-muette ?","Outwitted από το άλαλο AI;","Outwitted da IA dumb?","Outwitted pelo AI dumb?","Outwitted тупым ai?","¿Outwitted por el AI mudo?"
,,"Select Language","Wählen Sie Sprache Vor","Selecteer Taal","Choisissez La Langue","Επιλέξτε τη γλώσσα","Selezioni La Lingua","Selecione A Língua","Выберите Язык","Seleccione La Lengua"
,,"Well, I guess you could try again.","Gut schätze ich, daß Sie noch einmal versuchen konnten.","Goed, veronderstel ik u kon opnieuw proberen.","Bien, je devine que vous pourriez essayer encore.","Καλά, υποθέτω ότι θα μπορούσατε να προσπαθήσετε πάλι.","Bene, indovino che potreste provare ancora.","Bem, eu suponho que você poderia tentar outra vez.","Наилучшим образом, я угадываю вы смогло пытаться снова.","Bien, conjeturo que usted podría intentar otra vez."
"Autodump of new strings",,,,,,,,,,
,,"Today we are going to play at being Prometheus.","Heute werden wir am Sein spielen Prometheus.","Vandaag gaan wij bij het zijn spelen Prometheus.","Aujourd'hui nous allons jouer à être Prometheus.","Σήμερα πρόκειται να παίξουμε στην ύπαρξη PROMETHEUS.","Oggi stiamo andando giocare ad essere Prometheus.","Hoje nós estamos indo jogar em ser Prometheus.","Сегодня мы идем сыграть на быть Prometheus.","Vamos hoy a jugar en ser Prometheus."
,,"Wander the maze and steal all the fire but be carefull not to let the pesky guardians trap you in a corner.","Wander das Labyrinth und stehlen, das ganzes Feuer aber sind carefull nicht ließ die nervtötenden Wächter Sie in einer Ecke einschließen.","Wandel het labyrint en steel al brand maar ben carefull niet de pesky beschermersval te laten u in een hoek.","Errent le labyrinthe et volent tout le feu mais soient carefull pas a laissé les gardiens embêtants vous emprisonner dans un coin.","Περιπλανηθείτε ο λαβύρινθος και κλέψτε όλη την πυρκαγιά αλλά να είστε carefull να μην αφήσει την ενοχλητική παγίδα φυλάκων εσείς σε μια γωνία.","Vaga il labirinto e ruba tutto il fuoco ma è carefull non ha lasciato i guardiani pesky intrappolarlo in un angolo.","Vagueia o maze e rouba todo o fogo mas seja carefull não deixou os guardians pesky prendê-lo em um canto.","Бродяжничает maze и крадет полностью пожар но будет carefull не препятствовал pesky радетелям поглотить вас в угле.","Vaga el laberinto y roba todo el fuego pero sea carefull no dejó a guardas pesky atraparle en una esquina."
,,"Pretty easy, huh?","Hübsches einfaches, huh?","Vrij gemakkelijk, huh?","Joli facile, huh ?","Αρκετά εύκολος, huh;","Facile grazioso, huh?","Fácil bonito, huh?","Милая легкая, huh?","¿Fácil bonito, huh?"
,,"Although you could try for a faster time. High scores amd replays will be implimented soon.","Obgleich Sie für ein schnelleres versuchen konnten, setzen Sie Zeit fest. Hohe Kerben, die amd replays, sind implimented bald.","Hoewel u voor een snellere tijd kon proberen. De hoge scores amd speelt zullen zijn spoedig implimented over.","Bien que vous pourriez essayer pour un plus rapide chronométrez. Les hauts points que l'amd rejoue seront implimented bientôt.","Αν και θα μπορούσατε να προσπαθήσετε για έναν γρηγορότερο χρόνο. Τα υψηλά αποτελέσματα amd επαναλαμβάνουν θα είναι σύντομα.","Anche se potreste provare per un più veloce cronometri. Gli alti segni che il amd ripete saranno implimented presto.","Embora você poderia tentar para um mais rápido cronometre. As contagens que elevadas o amd replays serão implimented logo.","Хотя вы смогли попытаться для быстрой приурочьте. Высокие счеты, котор amd переигрывает будут implimented скоро.","Aunque usted podría intentar para un más rápido mida el tiempo. Las cuentas altas que el amd juega de nuevo serán implimented pronto."
